model,provider,n_full_attempted,n_face_attempted,n_face_failures,full_accuracy,full_precision_weighted,full_recall_weighted,full_f1_weighted,face_accuracy,face_precision_weighted,face_recall_weighted,face_f1_weighted
Qwen/Qwen3-VL-8B-Instruct,novita,1000,957,43,0.148,0.16313487048890146,0.148,0.12655410712626355,0.15569487983281086,0.13228633483867522,0.15569487983281086,0.12463841849509012
zai-org/GLM-4.5V,novita,1000,957,43,0.146,0.19630768636675386,0.146,0.12577261758761785,0.14225941422594143,0.18008817436411753,0.14225941422594143,0.12465182676631867
Qwen/Qwen3-VL-30B-A3B-Instruct,novita,1000,957,43,0.158,0.1717408952773559,0.158,0.12840093590408663,0.16405433646812956,0.1657114726039184,0.16405433646812956,0.1281928951519064
